Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Total Interactions (weighted  —  Likes 1x Comments 1x ),Overperforming Score
Nike,nike,293238416,2023-05-23 18:18:26 CDT,2023-05-23,18:18:26,Photo,"2,090,391",2079427,10964,0,false,https://www.instagram.com/p/CsmpQM1rnpc/,https://www.instagram.com/p/CsmpQM1rnpc/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/348487667_130739003347364_670891580731578682_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=XK0-euNOscEAX_en1j1&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBPkkGbbdVp2oJLIuGVQQGX57td5otvmBgSfSHvdi4v6A&oe=64A1D55E,,We stand with @vinijr.,Stop looking the other Stoplookingtheotherway. way. VI A រ 1E,,,"2,090,391",4.74
Nike,nike,264854830,2023-01-26 11:06:52 CST,2023-01-26,11:06:52,Album,"1,051,621",1046531,5090,5032449,false,https://www.instagram.com/p/Cn4tufbpGSQ/,https://www.instagram.com/p/Cn4tufbpGSQ/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/327804561_3366691113573662_1515918805406887368_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=DVp_uQ_PdLIAX-FVsKu&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfC3D32d30S5fCKN_XT7pa7M4vCwHKWsuW_JP_pEnFmJ-Q&oe=64A122B4,,"Feels like a sweet ride. Looks like a running shoe. 🍭👟
 
When trying on the Nike Invincible for the first time, @sashahfierce said, “It feels like I’m running on marshmallows.” While marshmallows are one way to describe ZoomX cushioning, here’s what runners around the world are saying about the Nike Invincible. 📣
 
💬“Ohhhh.. whoaaaaa!!!!”
💬“Pillowy!”
💬“OMG it feels so good.”

Feel It to Believe It on 2.2. 🤩✨💯 Link in bio.",,,,"1,051,621",5.74
Nike,nike,255872144,2022-12-12 11:30:27 CST,2022-12-12,11:30:27,Album,"500,274",496411,3863,1503066,false,https://www.instagram.com/p/CmE4pymuGkA/,https://www.instagram.com/p/CmE4pymuGkA/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/319620111_622195109655754_3111275968130695931_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=4Wx0ma3nhksAX-y0bZi&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCveDnTEDg9wFbAyBokTCV0lPI8dykwkJKIf-d842CNpg&oe=64A22F19,,"""When designing with Nike and the footwear team, I loved learning new techniques and ways to create new interpretations of Nike classics through intentional recycling measures."" - @billieeilish 

The Billie Eilish x Nike Air Force 1 Low is mindfully crafted with leftover material from Billie's previous AF1
High collaboration.

Dropping 12.14 on SNKRS",,,,"500,274",2.65
Nike,nike,297360580,2023-06-12 22:04:12 CDT,2023-06-12,22:04:12,Album,"484,210",482381,1829,0,false,https://www.instagram.com/p/Ctai_XKrzIN/,https://www.instagram.com/p/Ctai_XKrzIN/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/353055757_140788642302926_8924200912496792036_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=8cFOPHJt8uwAX-avlhO&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfA4kUmExMXPGxFwiDanC_ek0EWpPrYK2e8ipFMYh6wR2w&oe=64A13B68,,Congrats to the Joker and the @nuggets on a franchise-first NBA Championship.,,,,"484,210",3
Nike,nike,279599712,2023-03-23 11:00:31 CDT,2023-03-23,11:00:31,Album,"476,133",474345,1788,1706120,false,https://www.instagram.com/p/CqIyphHOdkS/,https://www.instagram.com/p/CqIyphHOdkS/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/337330637_749301013588487_7498472561120289143_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=MWeOpCit4X8AX8jQ-2L&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAKhouLHfqqpC6q6qdwH04vTDiaSwwdqX9cxNPCBZfhEw&oe=64A1A739,,"Make them yours. The latest @billieeilish x Nike AF1 Low is inspired by the many facets of your style, no matter what they may be. 

Available today on SNKRS App & select retail partners. 🔗 in bio.",,,,"476,133",2.69
Nike,nike,227067852,2022-07-01 14:00:23 CDT,2022-07-01,14:00:23,Album,"433,911",431179,2732,5324545,false,https://www.instagram.com/p/CfewlA8vBj6/,https://www.instagram.com/p/CfewlA8vBj6/,https://scontent-sea1-1.cdninstagram.com/v/t51.36329-15/291352290_808675526784178_5420222121362637349_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=URku2xpeEasAX8F2q9x&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfA1xnWG5BvxwDYapYMF6LLlEKNfp4oHXcl5Vg3snsocFg&oe=64A25EC1,,"It started with a workout on your phone. Now it’s 5:30 a.m. and 12 strangers are shouting your name as you finish a circuit. Ropes, lunges, mountain climbers. It’s all pain, but it’s the good kind. The kind that makes you come back for more. 

Nike Air Zoom SuperRep 3. HIIT off on the right foot. (Left is fine, too.)

Never done moving. 

Tap to shop.",,,,"433,911",1.97
Nike,nike,263465357,2023-01-18 12:00:04 CST,2023-01-18,12:00:04,Album,"374,554",372747,1807,0,false,https://www.instagram.com/p/CnkNdCSuzeH/,https://www.instagram.com/p/CnkNdCSuzeH/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/325958850_2365759190247437_2486175925331927752_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Xvy3rXQXiCwAX9HTRDr&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAVo7-L7f6Z6J_2oDtTPlsPqolcy2cDD1diewqInPWaeQ&oe=64A249D4,,"@laurenschrammfit (size XS, F-G) has the scoop on the new Nike Swoosh Flyknit Bra: “Once you put it on, you feel like it’s going to stay put where it’s meant to stay, but you can move in whatever way you want.”
 
And the secret to a perfect fit? Inclusive sizing lets you find what fits your body best, so you can enjoy a customized fit on every wear. Like Lauren says, “It’s something you actually feel better in as a piece of clothing” ✨

---
Lauren’s wearing the Swoosh Flyknit Bra and Zenvy Legging — available soon 🤍 Shop the Super Rep 4 now 👟",,,,"374,554",2.03
Nike,nike,232294314,2022-07-31 16:37:15 CDT,2022-07-31,16:37:15,Photo,"352,678",350490,2188,0,false,https://www.instagram.com/p/CgsSYLWvCA3/,https://www.instagram.com/p/CgsSYLWvCA3/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/296952585_376535487930124_7447235507885298252_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=bdU4qLBroEYAX9w0aN-&_nc_oc=AQmL_YwcfynJhoqc8ehLIK_YJ9fntplCODdC6EZF3mGrUoR43nRRyX9RmElP6mH6fYw&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDBQyOTFtCXSUK71RlMUAfOdwyzBQp45pwcvJevPTaAug&oe=64A21DA6,,"That moment when you unite a nation and inspire a new generation. 

@lionesses are never done bringing it home 🏠 🏆",,,,"352,678",-1.25
Nike,nike,296218670,2023-06-07 03:00:13 CDT,2023-06-07,03:00:13,Album,"329,652",328310,1342,0,false,https://www.instagram.com/p/CtLoGG2uYtk/,https://www.instagram.com/p/CtLoGG2uYtk/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/352236327_635878311925702_4081964450948445574_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=gzgpTKk55CgAX_4gz9_&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAnd5t3T3YViTe0r2xnHfzxYzhzfkSmxiMwQX0t1lx5Lw&oe=64A0689C,,"Barriers broken like never before for you to change the game forever after.

Introducing the 𝐚𝐥𝐥-𝐧𝐞𝐰 𝐏𝐡𝐚𝐧𝐭𝐨𝐦 𝐋𝐮𝐧𝐚 — the ultimate boot created by women, for women. Join the ranks of the game changers like @debinhaa7 and push your limits on the pitch with 𝐏𝐡𝐚𝐧𝐭𝐨𝐦 𝐋𝐮𝐧𝐚. Available in the Nike App and nike.com on June 28. 🌙
#NikeFootball",,,,"329,652",1.99
Nike,nike,246310311,2022-11-04 11:04:26 CDT,2022-11-04,11:04:26,Album,"305,828",301321,4507,593561,false,https://www.instagram.com/p/Cki4mg8udau/,https://www.instagram.com/p/Cki4mg8udau/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/313928372_168559825823011_6092199768352939628_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=7BiSH85-_KgAX_JzLx_&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDI71an0riGkbe_OnZ8OkVl3IbX3PM8qYcEvZ6RbF9Y3w&oe=64A20548,,"Step into play.

Simplify getting ready for playtime with the Dynamo Go, a shoe designed for kids to get in and out of faster than they can say “Tag, you’re it.”

It’s the anti-struggle footwear created to relieve kids everywhere (and grown-ups, let’s be real) of tying and re-tying and re-tying their laces. 

Tap to shop.",,,,"305,828",1.61
